Company,"PNP ID","Approved On Date"
"Airlib, Inc",AYR,2000-02-21
"Aironet Wireless Communications, Inc",AWL,1998-08-11
"Aiwa Company Ltd",AIW,1996-11-29
"AJA Video Systems, Inc.",AJA,2007-10-11
"AKAMI Electric Co.,Ltd",AKE,2010-09-03
"Akebia Ltd",AKB,1996-11-29
"AKIA Corporation",AKI,1998-12-23
"AL Systems",ALH,1999-01-20
"Alacron Inc",ALA,1996-11-29
"Alana Technologies",ALN,2000-01-13
Alcatel,AOT,2001-11-06
"Alcatel Bell",ABE,1996-11-29
Aldebbaron,ADB,2001-03-15
"Alenco BV",ALE,2014-05-20
"ALEXON Co.,Ltd.",ALX,1999-09-13
"Alfa Inc",AFA,1996-11-29
"Algolith Inc.",ALO,2005-05-02
"AlgolTek, Inc.",AGO,2013-10-23
"Alien Internet Services",AIS,2001-06-21
"Allen Bradley Company",ABD,1996-11-29
"Alliance Semiconductor Corporation",ALL,1996-11-29
"Allied Telesis KK",ATI,1996-11-29
"Allied Telesyn International (Asia) Pte Ltd",ATA,1997-11-10
"Allied Telesyn Int'l",ATK,1996-11-29
"Allion Computer Inc.",ACO,2000-10-23
"Alpha Data",XAD,2009-10-08
"Alpha Telecom Inc",ATD,1997-09-26
"Alpha-Top Corporation",ATP,1996-12-04
"AlphaView LCD",ALV,2008-11-01
"ALPS ALPINE CO., LTD.",APE,2013-01-22
"ALPS ALPINE CO., LTD.",ALP,1996-11-29
"ALPS ALPINE CO., LTD.",AUI,1996-11-29
"Alta Research Corporation",ARC,1996-11-29
"Altec Corporation",ALC,1998-08-04
"Altec Lansing",ALJ,2000-01-13
"ALTINEX, INC.",AIX,2001-04-24
"Altmann Industrieelektronik",AIE,1996-11-29
"Altos Computer Systems",ACS,1996-11-29
"Altos India Ltd",AIL,1996-11-29
"Alvedon Computers Ltd",CNC,1998-11-06
"Ambient Technologies, Inc.",AMB,1999-05-16
Altra,ALT,1996-11-29
"Amdek Corporation",AMD,1996-11-29
"America OnLine",AOL,1996-11-29
"American Biometric Company",YOW,1999-05-16
"American Express",AXP,1999-07-16
"American Magnetics",AXI,2001-03-15
"American Megatrends Inc",AMI,1996-11-29
"American Nuclear Systems Inc",MCA,1997-02-12
"American Power Conversion",CNB,2001-03-15
"American Power Conversion",APC,1996-11-29
"Amimon LTD.",AMN,2007-06-13
"Amino Technologies PLC and Amino Communications Limited",AMO,2011-12-09
"AMiT Ltd",AKL,1997-12-02
"AMP Inc",AMP,1996-11-29
"Amptron International Inc.",AII,2000-05-24
"AMT International Industry",AMT,1996-11-29
"AmTRAN Technology Co., Ltd.",AMR,2013-06-10
"AMX LLC",AMX,2008-07-06
Anakron,ANA,1999-11-08
"Analog & Digital Devices Tel. Inc",ADN,1997-03-14
"Analog Devices Inc",ADS,1996-11-29
"Analog Way SAS",ANW,2014-01-22
"Analogix Semiconductor, Inc",ANL,2005-10-10
"Anchor Bay Technologies, Inc.",ABT,2006-02-14
"Anatek Electronics Inc.",AAE,2004-05-25
"Ancor Communications Inc",ACI,1996-11-29
Ancot,ANC,1996-11-29
"Anderson Multimedia Communications (HK) Limited",AML,2003-01-03
"Andrew Network Production",ANP,1996-11-29
"Anigma Inc",ANI,1996-11-29
"Anko Electronic Company Ltd",ANK,1998-03-24
"Ann Arbor Technologies",AAT,2001-04-24
"an-najah university",BBB,2001-03-15
"Anorad Corporation",ANO,2000-01-13
"ANR Ltd",ANR,1996-11-29
"Ansel Communication Company",ANS,1996-11-29
"Antex Electronics Corporation",AEC,1996-11-29
"AOpen Inc.",AOA,2001-11-06
"AP Designs Ltd",APX,1997-12-08
"Apache Micro Peripherals Inc",DNG,1997-11-11
"Aplicom Oy",APL,2005-05-02
"Appian Tech Inc",APN,1996-11-29
"Apple Computer Inc",APP,1996-11-29
AppliAdata,APD,1996-11-29
"Applied Creative Technology",ACT,1996-11-29
"Applied Memory Tech",APM,1996-11-29
"Apricot Computers",ACL,1996-11-29
"Aprilia s.p.a.",APR,1999-02-22
"ArchiTek Corporation",ATJ,2014-01-22
"Archtek Telecom Corporation",ACH,1997-01-15
"Arcus Technology Ltd",ATL,1996-11-29
"AREC Inc.",ARD,2013-07-08
"Arescom Inc",ARS,1996-11-29
Argolis,AGL,2001-03-15
"Argosy Research Inc",ARI,1997-02-24
"Argus Electronics Co., LTD",ARG,2004-06-04
"Ariel Corporation",ACA,1996-12-13
Arima,ARM,2004-04-07
"Arithmos, Inc.",ADE,1999-07-16
"Ark Logic Inc",ARK,1996-11-29
"Arlotto Comnet Inc",ARL,1997-04-29
"ARMSTEL, Inc.",AMS ,2011-02-25
"Arnos Insturments & Computer Systems",AIC,1996-11-29
"ARRIS Group, Inc.",ARR,2015-01-27
"ART s.r.l.",IMB,2012-01-27
"Artish Graphics Inc",AGI,1996-11-29
Arvanics,NPA,2015-03-05
"Asahi Kasei Microsystems Company Ltd",AKM,1996-11-29
"Asante Tech Inc",ASN,1996-11-29
"Ascom Business Systems",HER,1999-01-20
"Ascom Strategic Technology Unit",ASC,1996-11-29
"ASEM S.p.A.",ASM,2001-03-15
"ASEM S.p.A.",AEM,1996-11-29
"AseV Display Labs",ASE,1998-10-16
"Ashton Bentley Concepts",ASH,2013-09-20
"Asia Microelectronic Development Inc",AMA,1997-09-24
"Ask A/S",ASK,1996-11-29
"Askey Computer Corporation",DYN,1997-07-22
"ASP Microelectronics Ltd",ASP,1996-11-29
"Askey Computer Corporation",AKY,1997-04-02
"Aspen Tech Inc",ACP,1996-11-29
"AST Research Inc",AST,1996-11-29
"Astec Inc",JAC,1996-11-29
"ASTRA Security Products Ltd",ADL,1997-07-30
"ASTRO DESIGN, INC.",ATO,2003-06-06
"Asuscom Network Inc",ASU,1996-11-29
AT&T,ATT,1996-11-29
"AT&T Global Info Solutions",GIS,1996-11-29
"AT&T Microelectronics",HSM,1996-11-29
"AT&T Microelectronics",TME,1996-11-29
"AT&T Paradyne",PDN,1996-11-29
"Atelier Vision Corporation",AVJ,2015-02-24
"Athena Informatica S.R.L.",ATH,1997-01-29
"Athena Smartcard Solutions Ltd.",ATN,1999-09-13
"Athenix Corporation",ATX,1996-11-29
"ATI Tech Inc",BUJ,1996-11-29
Atlantis,CFG,1996-11-29
"ATM Ltd",ATM,1996-11-29
"Atom Komplex Prylad",AKP,2000-10-23
"Attachmate Corporation",AMC,1996-11-29
"Attero Tech, LLC",FWA,2010-04-20
"Audio Processing Technology  Ltd",APT,1997-03-18
AudioScience,ASX,1996-11-29
"August Home, Inc.",AUG,2014-06-11
"Auravision Corporation",AVC,1996-11-29
"Aureal Semiconductor",AUR,1996-11-29
"Autologic Inc",APS,1996-11-29
"automated computer control systems",CLT,1999-09-13
"Autotime Corporation",AUT,2001-10-08
"Auvidea GmbH",AUV,2014-04-21
"Avalue Technology Inc.",AVL,2011-11-18
"Avance Logic Inc",ALS,1996-11-29
"Avaya Communication",AVA,2001-03-15
Avencall,AEN,2012-01-27
"AVer Information Inc.",AVR,2010-05-07
"Avid Electronics Corporation",AVD,1996-11-29
"AVM GmbH",AVM,1996-11-29
"Avolites Ltd",AAA,2012-02-17
"Avocent Corporation",AVO,2000-10-23
"Avtek (Electronics) Pty Ltd",AVT,1996-11-29
"AWETA BV",ACD,1998-01-20
Axel,AXL,1996-11-29
"AXIOMTEK CO., LTD.",AXC,2005-05-02
"Axonic Labs LLC",AXO,2012-06-21
"Axtend Technologies Inc",AXT,1997-12-01
"Axxon Computer Corporation",AXX,1996-11-29
"AXYZ Automation Services, Inc",AXY,1998-08-11
"Aydin Displays",AYD,2007-06-13
"AZ Middelheim - Radiotherapy",AZM,2003-11-14
"Aztech Systems Ltd",AZT,1996-11-29
B&Bh,BBH,2003-01-17
"B.& V. s.r.l.",SMR,1997-03-21
"B.F. Engineering Corporation",BFE,1996-11-29
"B.U.G., Inc.",BUG,2011-08-30
"Bang & Olufsen",BNO,2003-05-16
"Banksia Tech Pty Ltd",BNK,1996-11-29
Banyan,BAN,1996-11-29
BARC,BRC,2000-08-10
"Barco Display Systems",BDS,1999-09-13
"Barco GmbH",BCD,2011-03-07
"Barco Graphics N.V",BGB,1996-11-29
"Barco, N.V.",BPS,2000-09-12
"Barco, N.V.",DDS,2000-10-23
"Baug & Olufsen",BEO,1996-11-29
"Beaver Computer Corporaton",BCC,1996-11-29
"Beckhoff Automation",BEC,2002-04-25
"Beckworth Enterprises Inc",BEI,1997-07-16
"Beijing Aerospace Golden Card Electronic Engineering Co.,Ltd.",AGC,2001-06-21
"Beijing AnHeng SecoTech Information Technology Co., Ltd.",AHS,2015-03-24
"Beijing ANTVR Technology Co., Ltd.",ANV,2015-08-24
"Beijing Northern Radiantelecom Co.",NRT,1999-03-20
"Beko Elektronik A.S.",BEK,2005-06-15
"Beltronic Industrieelektronik GmbH",BEL,2006-09-05
"Benson Medical Instruments Company",BMI,1996-12-04
"B&R Industrial Automation GmbH",BUR,1996-11-29
"Best Buy",INZ,2004-06-04
"Best Buy",VPR,2002-05-16
"Best Power",BPU,1996-11-29
"Biamp Systems Corporation",BIA,2015-05-14
"BICC Data Networks Ltd",ICC,1996-11-29
"Big Island Communications",BIC,1997-05-13
"Billion Electric Company Ltd",BIL,1996-12-11
"BioLink Technologies",BLN,2000-08-10
"BioLink Technologies International, Inc.",BIO,2000-05-24
"BIOMED Lab",BML,1997-05-22
"Biomedical Systems Laboratory",BSL,1997-10-16
BIOMEDISYS,BMS,2000-05-24
"Biometric Access Corporation",BAC,1998-05-19
"BioTao Ltd",BTO,2012-03-21
"Bit 3 Computer",BIT,1996-11-29
"Bit 3 Computer",BTC,1996-11-29
"Bitfield Oy",BTF,1996-11-29
"BitHeadz, Inc.",BHZ,2003-09-29
"Bitworks Inc.",BWK,2003-07-10
"Blackmagic Design",BMD,2012-09-13
"Blonder Tongue Labs, Inc.",BDR,2008-09-16
"Bloomberg L.P.",BLP,2008-09-16
"Boca Research Inc",ZZZ,1997-02-13
"Boca Research Inc",BRI,1996-11-29
"BodySound Technologies, Inc.",BST,2008-03-12
"Boeckeler Instruments Inc",BII,1996-10-17
"Booria CAD/CAM systems",BCS,2005-05-11
BOS,BOS,1997-07-03
"Bose Corporation",BSE,2006-09-05
"Boulder Nonlinear Systems",BNS,2008-03-12
"Braemac Pty Ltd",BRA,2010-11-18
"Braemar Inc",BRM,1997-10-07
"Brahler ICS",BDO,1998-06-04
"Brain Boxes Limited",BBL,2001-10-02
"Bridge Information Co., Ltd",BRG,1998-08-11
"BRIGHTSIGN, LLC",BSN,2012-02-28
"Brilliant Technology",BTE,1996-11-29
"Broadata Communications Inc.",BCI,2013-11-19
Broadcom,BCM,2004-04-01
"BROTHER INDUSTRIES,LTD.",BRO,2000-02-21
"BTC Korea Co., Ltd",NFC,2002-02-25
"Budzetron Inc",BGT,1996-11-29
Bull,BUL,1998-02-03
"Bull AB",BNE,1998-10-06
Busicom,BLI,1998-08-11
"BusTech Inc",BTI,1996-11-29
BusTek,BUS,1996-11-29
"Butterfly Communications",FLY,1997-05-05
"Buxco Electronics",BXE,1996-11-29
"byd:sign corporation",BYD,2008-04-10
"C3PO S.L.",XMM,1998-03-03
"CA & F Elettronica",CAC,1999-05-16
"Cabletime Ltd",CBT,2010-05-04
"Cabletron System Inc",CSI,1996-11-29
Cache,CCI,1996-11-29
CalComp,CAG,1996-11-29
CalComp,CDP,1996-11-29
"Calibre UK Ltd",CUK,2005-09-15
"California Institute of Technology",CSO,1999-03-20
"Cambridge Audio",CAM,2008-08-09
"Cambridge Electronic Design Ltd",CED,1996-11-29
"Cambridge Research Systems Ltd",CMR,2002-04-25
"Canon Inc",CNN,1996-11-29
"Canon Inc.",CAI,2001-11-06
"Canonical Ltd.",UBU,2013-05-24
"Canopus Company Ltd",CAN,1996-11-29
"Capella Microsystems Inc.",CPM,2012-05-09
"Capetronic USA Inc",CCP,1996-11-29
"Capstone Visua lProduct Development",DJE,2008-10-09
"Cardinal Company Ltd",CAR,1996-11-29
"Cardinal Technical Inc",CRD,1996-11-29
CardLogix,CLX,2001-03-15
"Carina System Co., Ltd.",CKJ,2010-09-03
"Carl Zeiss AG",CZE,2009-06-03
"CASIO COMPUTER CO.,LTD",CAS,1998-10-06
"Castles Automation Co., Ltd",CAA,2000-01-13
"Cavium Networks, Inc",CAV,2011-02-02
"C-C-C Group Plc",FVX,1998-05-04
CCL/ITRI,CCL,1997-03-31
"C-Cube Microsystems",CCC,1996-11-29
C-DAC,CEP,1996-11-29
"Cebra Tech A/S",CBR,1996-11-29
"Cefar Digital Vision",CEF,1997-02-19
"Centurion Technologies P/L",CEN,2000-10-23
"Century Corporation",TCE,1996-11-29
"Cerevo Inc.",CRV,2010-07-13
Ceronix,CER,2008-09-02
"Ceton Corporation",TOM,2014-05-08
"CH Products",CHP,1997-04-24
"ChangHong Electric Co.,Ltd",CHD,2001-11-30
"Chase Research PLC",CHA,1996-11-29
"Cherry GmbH",CHY,1999-05-16
"Chi Mei Optoelectronics corp.",CMO,2001-03-15
"CHIC TECHNOLOGY CORP.",CHM,1999-07-16
"Chicony Electronics Company Ltd",CEC,1996-11-29
"Chimei Innolux Corporation",CMN,2010-09-02
"China Hualu Group Co., Ltd.",HLG,2013-05-13
Chloride-R&D,CHL,1996-11-29
"Christie Digital Systems Inc",CDG,2001-04-24
"Chromatec Video Products Ltd",CVP,2013-08-09
"Chrontel Inc",CHI,1996-11-29
"Chunghwa Picture Tubes,LTD.",CHT,2001-03-15
"Chunghwa Telecom Co., Ltd.",CTE,2002-05-16
"Chunichi Denshi Co.,LTD.",KCD,2010-12-23
"Chuomusen Co., Ltd.",QQQ,2002-08-07
"Chyron Corp",CGS,2008-11-13
Cine-tal,CNE,2007-06-13
"Cipher Systems Inc",PTG,1996-11-29
"Ciprico Inc",CIP,1996-11-29
"Ciprico Inc",CPC,1996-11-29
"Cirel Systemes",FPX,1996-11-29
"Cirque Corporation",CRQ,1996-11-29
"Cirrus Logic Inc",CIR,1996-11-29
"Cirrus Logic Inc",CLI,1996-11-29
"Cirtech (UK) Ltd",SNS,1997-08-20
"CIS Technology Inc",WSC,1996-11-29
"Cisco Systems Inc",CIS,1996-11-29
"Citicom Infotech Private Limited",CIL,2000-08-10
"Citifax Limited",CIT,1997-07-16
"Citron GmbH",CIN,2005-07-28
"Clarion Company Ltd",CLA,1996-11-29
"Clarity Visual Systems",CVS,2000-01-13
"Classe Audio",CLE,2006-02-16
"Clevo Company",CLV,1998-01-30
"Clinton Electronics Corp.",PPM,2003-10-01
"Clone Computers",CLO,1996-11-29
"Cloudium Systems Ltd.",CSL,2013-02-14
"CMC Ltd",CMC,1996-11-29
"C-Media Electronics",CMI,1996-11-29
"CNet Technical Inc",JQE,1996-11-29
"COBY Electronics Co., Ltd",COB,2007-06-13
"CODAN Pty. Ltd.",COD,2000-10-23
"Codec Inc.",COI,2001-11-30
"Codenoll Technical Corporation",CDN,1996-11-29
"COINT Multimedia Systems",CNT,1999-03-20
Colin.de,CDE,2005-01-18
"Colorado MicroDisplay, Inc.",CMD,1999-03-20
"Colorado Video, Inc.",CVI,2012-08-15
"COM 1",MVX,1996-11-29
"Comex Electronics AB",CMX,2004-05-28
"Comm. Intelligence Corporation",CIC,1996-11-29
"COMMAT L.t.d.",CLD,2000-08-10
"Communications Specialies, Inc.",SDH,2005-09-06
"Communications Supply Corporation (A division of WESCO)",INX,2012-11-07
"Compal Electronics Inc",CPL,1996-11-29
"Compaq Computer Company",CPQ,1996-11-29
"Compound Photonics",CPP,2013-10-01
CompuAdd,CPD,1996-11-29
"CompuMaster Srl",CMS,1999-02-22
"Computer Diagnostic Systems",CDS,2001-03-15
"Computer Peripherals Inc",CPI,1996-11-29
"Computer Technology Corporation",CTP,1998-03-26
"ComputerBoards Inc",CBI,1998-02-03
"Computerm Corporation",CTM,1996-11-29
"Computone Products",CTN,1996-11-29
Comrex,COX,2011-10-18
"Comtec Systems Co., Ltd.",CTS,2002-04-25
"Comtime GmbH",CMM,2002-09-23
"Comtrol Corporation",COM,1996-11-29
"Concept Development Inc",CDI,1996-11-29
"Concept Solutions & Engineering",CSE,1996-12-11
"Concepts Inc",DCI,1996-11-29
"Conexant Systems",CXT,1999-01-20
"congatec AG",CGT,2011-06-16
"Connect Int'l A/S",CNI,1996-11-29
"Connectware Inc",CWR,1996-11-29
"CONRAC GmbH",CRC,2004-04-20
"Consultancy in Advanced Technology",CAT,1997-09-19
"Consumer Electronics Association",CEA,2006-09-05
"CONTEC CO.,LTD.",CCJ,2000-08-10
"Contec Company Ltd",CON,1996-11-29
"Contemporary Research Corp.",CRH,2015-02-24
"Control4 Corporation",CTR,2014-05-28
"Convergent Data Devices",CDD,2004-02-27
"Convergent Design Inc.",CDV,2006-09-05
"Core Dynamics Corporation",CDC,1996-11-29
"Corion Industrial Corporation",ART,1996-11-29
"Core Technology Inc",COT,2000-04-19
CoreLogic,CLG,1998-11-27
"Cornerstone Imaging",CRN,1996-11-29
"Corollary Inc",COR,1996-12-13
"Cosmic Engineering Inc.",CSM,2012-04-18
"CoStar Corporation",COS,1996-11-29
"CoSystems Inc",CTA,1998-10-24
"Covia Inc.",CVA,2010-05-11
cPATH,CPT,1998-03-09
"CRALTECH ELECTRONICA, S.L.",CRA,2015-03-24
"Cray Communications",CDK,1996-11-29
"CRE Technology Corporation",IOA,1997-06-30
"Creative Labs Inc",CRE,1996-11-29
"Creative Logic  ",CRL,1997-10-16
"Creative Technology Ltd",CTL,1996-11-29
"Creatix Polymedia GmbH",CTX,1996-11-29
"Crescendo Communication Inc",CRS,1996-11-29
"Cresta Systems Inc",CSD,1997-08-01
"Crestron Electronics, Inc.",CEI,2006-05-08
"Crio Inc.",CRI,1999-09-13
"Cromack Industries Inc",CII,1997-01-22
"Crystal Computer",XTL,1996-11-29
"Crystal Semiconductor",CSC,1996-11-29
"CrystaLake Multimedia",CLM,1996-11-29
"CSS Laboratories",CSS,1997-01-02
"CSTI Inc",CST,1996-11-29
"CTC Communication Development Company Ltd",CTC,1997-10-21
"Cubix Corporation",CUB,1996-11-29
"Curtiss-Wright Controls, Inc.",CWC,2013-04-05
Cyberlabs,CYL,1998-04-14
CyberVision,CYB,1997-05-13
Cyberware,CYW,2000-02-21
"Cybex Computer Products Corporation",CBX,1999-11-08
"Cyclades Corporation",CYD,2001-05-07
"Cylink Corporation",CYC,1996-11-29
"Cyrix Corporation",CYX,1997-10-21
"Cyrix Corporation",CRX,1997-03-21
"Cytechinfo Inc",CYT,1998-03-13
"Cyviz AS",CYV,2002-04-25
"D&M Holdings Inc, Professional Business Company",DMP,2006-09-05
"D.N.S. Corporation",OPI,1996-11-29
"DA2 Technologies Corporation",DDA,2006-03-13
"DA2 Technologies Inc",DAW,2005-09-06
"Daewoo Electronics Company Ltd",DWE,1996-11-29
"Dai Telecom S.p.A.",TLT,2003-06-04
"Daintelecom Co., Ltd",DIN,1999-11-08
"DAIS SET Ltd.",DAI,2000-02-21
Daktronics,DAK,2004-06-23
"Dale Computer Corporation",DCC,1996-11-29
"Dancall Telecom A/S",DCT,1997-08-12
"Danelec Marine A/S",DAN,2009-12-24
"Danka Data Devices",DDD,1996-11-29
"Daou Tech Inc",DAU,1996-11-29
DAT,HCA,2001-03-15
"Data Apex Ltd",DAX,1996-11-29
"Data Display AG",DDI,2002-07-17
"Data Expert Corporation",DXP,1996-11-29
"Data Export Corporation",EXP,1996-11-29
"Data Modul AG",DMO,2013-12-03
"Data Price Informatica",EBH,2001-05-24
"Data Race Inc",DRI,1997-07-30
"Data Ray Corp.",DRC,2001-11-30
"Data Translation",DTX,1996-11-29
"Data Video",DVT,2007-02-13
"Databook Inc",DBK,1996-11-29
"Datacast LLC",DCD,1997-12-02
"Datacommunicatie Tron B.V.",TRN,1996-11-29
"Datacube Inc",DQB,1996-11-29
"Datadesk Technologies Inc",DDT,1998-11-27
"Datakey Inc",DKY,1998-04-06
"Datalogic Corporation",LJX,1996-11-29
"Datang  Telephone Co",DTN,1998-09-23
"Dataq Instruments Inc",DII,1996-11-29
"Datasat Digital Entertainment",DDE,2011-11-18
"Datatronics Technology Inc",DCV,1997-01-02
"Datel Inc",DAT,1996-11-29
"Datenerfassungs- und Informationssysteme",MSD,1998-03-16
"Davicom Semiconductor Inc",DAV,1997-01-15
"DAVIS AS",DAS,1998-02-03
"DB Networks Inc",DBN,1997-12-01
"DBA Hans Wedemeyer",HWC,1999-03-20
"DCM Data Products",DCM,1996-11-29
"Dearborn Group Technology",DGT,1997-11-11
"DECIMATOR DESIGN PTY LTD",DXD,2012-03-06
"Decros Ltd",DCR,1996-11-29
"Deep Video Imaging Ltd",MLD,2003-08-14
"DEI Holdings dba Definitive Technology",DFT,2011-12-09
"Deico Electronics",DEI,1996-11-29
"Dell Inc",DLL,2009-03-27
"Dell Inc.",DEL,2009-12-09
"Delphi Automotive LLP",DPH,2013-10-15
"Delta Electronics Inc",DPC,1996-11-29
"Delta Information Systems, Inc",DDV,2012-01-03
DELTATEC,DTA,2009-03-13
"Deltec Corporation",FPS,1996-11-29
"DENON, Ltd.",DON,2004-04-01
"Dension Audio Systems",DHD,2013-03-04
"Densitron Computers Ltd",DEN,1999-09-13
"Design & Test Technology, Inc.",DTT,2010-09-30
"Design Technology",LPI,1996-11-29
"Deterministic Networks Inc.",DNI,2000-04-19
"Deutsche Telekom Berkom GmbH",BCQ,1997-08-12
"Deutsche Thomson OHG",DTO,2007-06-14
"Devolo AG",DVL,2002-05-30
"Dextera Labs Inc",DXL,2009-12-09
DFI,DFI,1996-11-29
"DH Print",DHP,1996-11-29
Diadem,DIA,1996-11-29
"Diagsoft Inc",DGS,1996-11-29
"Dialogue Technology Corporation",DCO,2004-06-16
"Diamond Computer Systems Inc",DCS,1996-11-29
"Diamond Lane Comm. Corporation",DLC,1996-11-29
DiCon,DNV,2004-12-15
"Dictaphone Corporation",DVD,1998-04-03
"Diebold Inc.",DBD,2006-09-05
"Digatron Industrie Elektronik GmbH",DAE,1997-02-24
"DIGI International",DGI,1996-11-29
"DigiBoard Inc",DBI,1996-11-29
"Digicom S.p.A.",DIG,1996-11-29
"Digicom Systems Inc",DMB,1998-03-13
"Digicorp European sales S.A.",DGP,1997-05-22
"Digiital Arts Inc",DGA,2007-06-14
"Digipronix Control Systems",DXC,1999-07-16
"Digital Acoustics Corporation",DAC,2000-05-24
"Digital Audio Labs Inc",DAL,1996-11-29
"Digital Communications Association",DCA,1996-11-29
"Digital Discovery",SHR,1997-09-24
"Schneider Electric Japan Holdings, Ltd.",PRF,2003-01-02
"Digital Equipment Corporation",DEC,1996-11-29
"Digital Processing Systems",DPS,1996-11-29
"Digital Projection Limited",DPL,2002-07-09
"DIGITAL REFLECTION INC.",DRD,2000-02-21
"Digital Video System",DVS,1996-11-29
"DigiTalk Pro AV",DPA,2000-10-23
"Digital-Logic GmbH",DLG,2003-09-02
"Digitan Systems Inc",DSI,1996-11-29
"Digitelec Informatique Park Cadera",DLT,1996-11-29
"Dimension Technologies, Inc.",DTE,2010-05-03
"Dimond Multimedia Systems Inc",DMM,1996-11-29
"Diseda S.A.",DIS,1996-11-29
"Distributed Management Task Force, Inc. (DMTF)",DMT,2009-03-31
"Diversified Technology, Inc.",DTI,1996-11-29
"D-Link Systems Inc",ABO,1996-11-29
"D-Link Systems Inc",DLK,1996-11-29
"DNA Enterprises, Inc.",DNA,1998-09-01
"DO NOT USE - AUO",AUO,2008-09-16
"DO NOT USE - LPL",LPL,2008-09-16
"DO NOT USE - PHI",PHI,1996-11-29
"DO NOT USE - PTW",PTW,2009-09-09
"DO NOT USE - PVC",PVC,2009-09-09
"DO NOT USE - RTK",RTK,2009-09-09
"DO NOT USE - SEG",SEG,2009-09-09
"DO NOT USE - TNJ",TNJ,2009-09-09
"DO NOT USE - UND",UND,1996-11-29
"DO NOT USE - UNE",UNE,1996-11-29
"DO NOT USE - UNF",UNF,1996-11-29
"DO NOT USE - WAN",WAN,2009-09-09
"DO NOT USE - XER",XER,2009-09-09
"DO NOT USE - XOC",XOC,2009-09-09
"Doble Engineering Company",DBL,1996-11-29
DocuPoint,DPI,1996-11-29
"Dolby Laboratories Inc.",DLB,2010-01-27
"Dolman Technologies Group Inc",DOL,1997-11-11
"Domain Technology Inc",DSP,1996-11-29
"DOME imaging systems",DMS,2000-10-23
